dataset_id,condition,tissue_primary,subtissue,platform, technique ,data_source,group_column,case_label,control_label,cycle_phase,notes
GSE1615,PCOS,Theca cells,follicular theca ,GPL96;97, Microarray ,GEO_matrix,title ,UNT-PCOS,UNT-NL,NA,total = 26 ;  10 PCOS vs 8 Control ;                     8 treatment samples VPL 
GSE54250,PCOS,blood/serum,PBMC,GPL10558;8979, Microarray ,GEO_matrix,diagnosis:ch1,Polycystic Ovarian Syndrome (PCOS),Healthy,NA,total = 16 ; 8 PCOS vs 8 control
GSE155489,PCOS,cumulus granulosa ,cumulus,GPL20795, RNA-seq ,ARCHS4,group ,PCOS,Control,NA,total=20; 6 PCOS vs 6 control (oocytes)              4 PCOS vs 4 control (cumulus granulosa)       IVF-derived oocytes and cumulus granulosa cells; dataset contains both oocytes and cumulus cells
GSE249470,PCOS,placenta,decidua,GPL24676;11154,Microarray,GEO_matrix,group ,PCOS,Control,NA,total=20; 5 PCOS vs 5 control (miRNA); 5 PCOS vs 5 control (ciRNA)                             
GSE156067,PCOS,adipose tissue/ovary,subcutaneous abdominal adipose stem cell ,GPL20301, RNA-seq ,ARCHS4,group ,PCOS,Control,NA,total=18; 9 PCOS vs 9 control
GSE145461,PCOS,Follicular fluid,exosomes,GPL20301, RNA-seq ,ARCHS4,group ,PCOS,Control,NA,total=10; 5 PCOS vs 5 control
GSE141549,Endometriosis,Endometrium,eutopic,GPL13376;10558, Microarray ,GEO_matrix,group ,Endometriosis,Control,NA,total= 408; 115 EM vs 53 control
GSE51981,Endometriosis,Endometrium,eutopic,GPL570, Microarray ,GEO_matrix,endometriosis/no endometriosis:ch1 ,Endometriosis,Non-Endometriosis,"proliferative, secretory","total=148; 111 EM vs 37 control  (mild endometriosis 34 , severe 77)"
GSE134056,Endometriosis,Endometrium,eutopic,GPL18573, RNA-seq ,recount3,group ,disease,control,mixed,total=38; 16 EM vs 22 control
GSE192636,Endometriosis,Granulosa,Ovarian endometriosis-associated granulosa cells,"	
GPL24676", RNA-seq ,ARCHS4,disease_state,endometriosis,control(normal),NA,total=10; 5 EM vs 5 control
GSE303635,Endometriosis,Endometrium,Stromal cells,"	
GPL34284",RNA-seq,salmon_workstation,group ,Endometriosis,Control,NA,total=20; 15 EM(ectopic) vs  5 control (eutopic)
GSE269530,Endometriosis,Endometrium,Stromal cells,"	
GPL24676	", RNA-seq ,ARCHS4,group ,Endometriosis,Control,NA,total=20; 10 EM (ectopic) vs 10 control (eutopic)
GSE185392,Adenomyosis,Endometrium,NA,GPL24676, RNA-seq ,ARCHS4,group ,Adenomyosis,Control,Receptive / Window of Implantation (WOI),total=20; 10 AM vs 10 control
GSE262302,Adenomyosis,Endometrium,exosomes derived from ectopic lesions,GPL24676, RNA-seq ,ARCHS4,group ,Adenomyosis,Control,NA,total=16; 8 AM vs 8 control
